St. Martin (French part),MAF,
Morocco,MAR,3036.171062
Monaco,MCO,166726.0519
Moldova,MDA,2724.493093
Madagascar,MDG,448.4007965
Maldives,MDV,9801.624542
Middle East & North Africa,MEA,7422.027903
Mexico,MEX,9281.101483
Marshall Islands,MHL,3516.71432
Middle income,MIC,5229.031764
North Macedonia,MKD,5417.642019
Mali,MLI,828.6132202
Malta,MLT,27241.09064
Myanmar,MMR,1249.828757
Middle East & North Africa (excluding high income),MNA,3817.686174
Montenegro,MNE,7784.06529
Mongolia,MNG,3671.948419
Northern Mariana Islands,MNP,28163.78487
Mozambique,MOZ,441.6178369
Mauritania,MRT,1161.785457
Mauritius,MUS,10484.90836
Malawi,MWI,356.7175732
Malaysia,MYS,10117.56903
North America,NAC,58434.03088
Namibia,NAM,5646.456007
New Caledonia,NCL,
Niger,NER,375.8694897
Nigeria,NGA,1968.559588
Nicaragua,NIC,2168.19124
Netherlands,NLD,48482.76621
Norway,NOR,75704.2487
Nepal,NPL,900.5739036
Nauru,NRU,8844.41715
New Zealand,NZL,42260.12518
OECD members,OED,38407.76928
Oman,OMN,15170.35174
Other small states,OSS,13422.24394
Pakistan,PAK,1466.843096
Panama,PAN,15166.12443
Peru,PER,6700.81138
Philippines,PHL,2981.934151
Palau,PLW,16274.90454
Papua New Guinea,PNG,2640.153572
Poland,POL,13861.05156
Pre-demographic dividend,PRE,1457.876694
Puerto Rico,PRI,31353.43418
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,21291.43088
Paraguay,PRY,5680.580768
West Bank and Gaza,PSE,3254.485887
Pacific island small states,PSS,4080.526197
Post-demographic dividend,PST,42724.08249
French Polynesia,PYF,
Qatar,QAT,61264.39648
Romania,ROU,10792.95628
Russian Federation,RUS,10750.58712
Rwanda,RWA,762.4991636
South Asia,SAS,1867.272248
Saudi Arabia,SAU,20803.74257
Sudan,SDN,3015.02443
Senegal,SEN,1367.218948
Singapore,SGP,60297.79378
Solomon Islands,SLB,2077.126038
Sierra Leone,SLE,499.3807078
El Salvador,SLV,3902.237622
San Marino,SMR,48494.55141
Somalia,SOM,488.5833065
Serbia,SRB,6284.192672
Sub-Saharan Africa (excluding high income),SSA,1597.682727
South Sudan,SSD,
Sub-Saharan Africa,SSF,1598.968095
Small states,SST,12125.16296
Sao Tome and Principe,STP,1811.009633
Suriname,SUR,5379.119415
Slovak Republic,SVK,17579.2594
Slovenia,SVN,23449.57452
Sweden,SWE,53253.47664
Eswatini,SWZ,3941.900457
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15683.6565
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,25933.60744
Chad,TCD,664.3033157
East Asia & Pacific (IDA & IBRD countries),TEA,7156.320319
Europe & Central Asia (IDA & IBRD countries),TEC,8516.291877
Togo,TGO,619.066371
Thailand,THA,6578.188865
Tajikistan,TJK,806.0415731
Turkmenistan,TKM,6587.090316
Latin America & the Caribbean (IDA & IBRD countries),TLA,9253.666484
Timor-Leste,TLS,2000.601191
Middle East & North Africa (IDA & IBRD countries),TMN,3823.8332
Tonga,TON,4217.476507
South Asia (IDA & IBRD),TSA,1867.272248
Sub-Saharan Africa (IDA & IBRD countries),TSS,1598.968095
Trinidad and Tobago,TTO,16076.08204
Tunisia,TUN,3494.318864
Turkey,TUR,10499.74557
Tuvalu,TUV,3572.608367
Tanzania,TZA,1004.841121
Uganda,UGA,631.5227198
Ukraine,UKR,2640.675677
Upper middle income,UMC,8663.27389
Uruguay,URY,16437.24487
United States,USA,59927.92983
Uzbekistan,UZB,1826.56704
St. Vincent and the Grenadines,VCT,7149.630866
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,35938.02439
Vietnam,VNM,2365.621666
Vanuatu,VUT,2976.107116
World,WLD,10768.96336
Samoa,WSM,4307.805464
Kosovo,XKX,3948.08815
"Yemen, Rep.",YEM,963.494721
South Africa,ZAF,6120.5068
Zambia,ZMB,1534.865371
Zimbabwe,ZWE,1602.403507
